value,total_points,GW,first_name,second_name,date,squad_number,team
55,0,1,Aaron,Cresswell,12/08/2018,3,West Ham
55,0,2,Aaron,Cresswell,18/08/2018,3,West Ham
54,0,3,Aaron,Cresswell,25/08/2018,3,West Ham
53,1,4,Aaron,Cresswell,01/09/2018,3,West Ham
53,0,5,Aaron,Cresswell,16/09/2018,3,West Ham
53,0,6,Aaron,Cresswell,23/09/2018,3,West Ham
52,0,7,Aaron,Cresswell,29/09/2018,3,West Ham
52,0,8,Aaron,Cresswell,05/10/2018,3,West Ham
52,2,9,Aaron,Cresswell,20/10/2018,3,West Ham
51,1,10,Aaron,Cresswell,27/10/2018,3,West Ham
51,1,11,Aaron,Cresswell,03/11/2018,3,West Ham
51,2,12,Aaron,Cresswell,10/11/2018,3,West Ham
51,1,13,Aaron,Cresswell,24/11/2018,3,West Ham
51,1,14,Aaron,Cresswell,01/12/2018,3,West Ham
51,0,15,Aaron,Cresswell,04/12/2018,3,West Ham
51,0,16,Aaron,Cresswell,08/12/2018,3,West Ham
51,0,17,Aaron,Cresswell,15/12/2018,3,West Ham
51,0,18,Aaron,Cresswell,22/12/2018,3,West Ham
51,2,19,Aaron,Cresswell,27/12/2018,3,West Ham
50,1,20,Aaron,Cresswell,30/12/2018,3,West Ham
50,1,21,Aaron,Cresswell,02/01/2019,3,West Ham
50,6,22,Aaron,Cresswell,12/01/2019,3,West Ham
50,1,23,Aaron,Cresswell,19/01/2019,3,West Ham
50,0,24,Aaron,Cresswell,29/01/2019,3,West Ham
50,2,25,Aaron,Cresswell,04/02/2019,3,West Ham
50,2,26,Aaron,Cresswell,09/02/2019,3,West Ham
50,2,27,Aaron,Cresswell,22/02/2019,3,West Ham
50,0,28,Aaron,Cresswell,27/02/2019,3,West Ham
50,1,29,Aaron,Cresswell,02/03/2019,3,West Ham
50,1,30,Aaron,Cresswell,09/03/2019,3,West Ham
50,4,31,Aaron,Cresswell,16/03/2019,3,West Ham
50,1,32,Aaron,Cresswell,30/03/2019,3,West Ham
50,1,33,Aaron,Cresswell,08/04/2019,3,West Ham
50,0,34,Aaron,Cresswell,13/04/2019,3,West Ham
50,0,35,Aaron,Cresswell,20/04/2019,3,West Ham
50,0,36,Aaron,Cresswell,27/04/2019,3,West Ham
50,0,37,Aaron,Cresswell,04/05/2019,3,West Ham
50,0,38,Aaron,Cresswell,12/05/2019,3,West Ham
45,0,1,Adrián,San Miguel del Castillo,12/08/2018,13,West Ham
45,0,2,Adrián,San Miguel del Castillo,18/08/2018,13,West Ham
45,0,3,Adrián,San Miguel del Castillo,25/08/2018,13,West Ham
45,0,4,Adrián,San Miguel del Castillo,01/09/2018,13,West Ham
44,0,5,Adrián,San Miguel del Castillo,16/09/2018,13,West Ham
44,0,6,Adrián,San Miguel del Castillo,23/09/2018,13,West Ham
44,0,7,Adrián,San Miguel del Castillo,29/09/2018,13,West Ham
44,0,8,Adrián,San Miguel del Castillo,05/10/2018,13,West Ham
44,0,9,Adrián,San Miguel del Castillo,20/10/2018,13,West Ham
44,0,10,Adrián,San Miguel del Castillo,27/10/2018,13,West Ham
44,0,11,Adrián,San Miguel del Castillo,03/11/2018,13,West Ham
43,0,12,Adrián,San Miguel del Castillo,10/11/2018,13,West Ham
43,0,13,Adrián,San Miguel del Castillo,24/11/2018,13,West Ham
43,0,14,Adrián,San Miguel del Castillo,01/12/2018,13,West Ham
43,0,15,Adrián,San Miguel del Castillo,04/12/2018,13,West Ham
43,0,16,Adrián,San Miguel del Castillo,08/12/2018,13,West Ham
43,0,17,Adrián,San Miguel del Castillo,15/12/2018,13,West Ham
43,0,18,Adrián,San Miguel del Castillo,22/12/2018,13,West Ham
43,0,19,Adrián,San Miguel del Castillo,27/12/2018,13,West Ham
43,0,20,Adrián,San Miguel del Castillo,30/12/2018,13,West Ham
43,0,21,Adrián,San Miguel del Castillo,02/01/2019,13,West Ham
43,0,22,Adrián,San Miguel del Castillo,12/01/2019,13,West Ham
43,0,23,Adrián,San Miguel del Castillo,19/01/2019,13,West Ham
43,0,24,Adrián,San Miguel del Castillo,29/01/2019,13,West Ham
43,0,25,Adrián,San Miguel del Castillo,04/02/2019,13,West Ham
43,0,26,Adrián,San Miguel del Castillo,09/02/2019,13,West Ham
43,0,27,Adrián,San Miguel del Castillo,22/02/2019,13,West Ham
43,0,28,Adrián,San Miguel del Castillo,27/02/2019,13,West Ham
43,0,29,Adrián,San Miguel del Castillo,02/03/2019,13,West Ham
43,0,30,Adrián,San Miguel del Castillo,09/03/2019,13,West Ham
43,0,31,Adrián,San Miguel del Castillo,16/03/2019,13,West Ham
43,0,32,Adrián,San Miguel del Castillo,30/03/2019,13,West Ham
42,0,33,Adrián,San Miguel del Castillo,08/04/2019,13,West Ham
42,0,34,Adrián,San Miguel del Castillo,13/04/2019,13,West Ham
42,0,35,Adrián,San Miguel del Castillo,20/04/2019,13,West Ham
42,0,36,Adrián,San Miguel del Castillo,27/04/2019,13,West Ham
42,0,37,Adrián,San Miguel del Castillo,04/05/2019,13,West Ham
42,0,38,Adrián,San Miguel del Castillo,12/05/2019,13,West Ham
70,1,1,Andriy,Yarmolenko,12/08/2018,20,West Ham
70,0,2,Andriy,Yarmolenko,18/08/2018,20,West Ham
69,1,3,Andriy,Yarmolenko,25/08/2018,20,West Ham
69,1,4,Andriy,Yarmolenko,01/09/2018,20,West Ham
68,13,5,Andriy,Yarmolenko,16/09/2018,20,West Ham
68,3,6,Andriy,Yarmolenko,23/09/2018,20,West Ham
68,5,7,Andriy,Yarmolenko,29/09/2018,20,West Ham
68,2,8,Andriy,Yarmolenko,05/10/2018,20,West Ham
68,1,9,Andriy,Yarmolenko,20/10/2018,20,West Ham
68,0,10,Andriy,Yarmolenko,27/10/2018,20,West Ham
68,0,11,Andriy,Yarmolenko,03/11/2018,20,West Ham
68,0,12,Andriy,Yarmolenko,10/11/2018,20,West Ham
68,0,13,Andriy,Yarmolenko,24/11/2018,20,West Ham
68,0,14,Andriy,Yarmolenko,01/12/2018,20,West Ham
68,0,15,Andriy,Yarmolenko,04/12/2018,20,West Ham
68,0,16,Andriy,Yarmolenko,08/12/2018,20,West Ham
68,0,17,Andriy,Yarmolenko,15/12/2018,20,West Ham
67,0,18,Andriy,Yarmolenko,22/12/2018,20,West Ham
67,0,19,Andriy,Yarmolenko,27/12/2018,20,West Ham
67,0,20,Andriy,Yarmolenko,30/12/2018,20,West Ham
67,0,21,Andriy,Yarmolenko,02/01/2019,20,West Ham
67,0,22,Andriy,Yarmolenko,12/01/2019,20,West Ham
67,0,23,Andriy,Yarmolenko,19/01/2019,20,West Ham
67,0,24,Andriy,Yarmolenko,29/01/2019,20,West Ham
67,0,25,Andriy,Yarmolenko,04/02/2019,20,West Ham
67,0,26,Andriy,Yarmolenko,09/02/2019,20,West Ham
67,0,27,Andriy,Yarmolenko,22/02/2019,20,West Ham
67,0,28,Andriy,Yarmolenko,27/02/2019,20,West Ham
67,0,29,Andriy,Yarmolenko,02/03/2019,20,West Ham
67,0,30,Andriy,Yarmolenko,09/03/2019,20,West Ham
67,0,31,Andriy,Yarmolenko,16/03/2019,20,West Ham
67,0,32,Andriy,Yarmolenko,30/03/2019,20,West Ham
67,0,33,Andriy,Yarmolenko,08/04/2019,20,West Ham
67,0,34,Andriy,Yarmolenko,13/04/2019,20,West Ham
67,0,35,Andriy,Yarmolenko,20/04/2019,20,West Ham
67,0,36,Andriy,Yarmolenko,27/04/2019,20,West Ham
67,0,37,Andriy,Yarmolenko,04/05/2019,20,West Ham
67,0,38,Andriy,Yarmolenko,12/05/2019,20,West Ham
55,0,1,Andy,Carroll,12/08/2018,9,West Ham
55,0,2,Andy,Carroll,18/08/2018,9,West Ham
55,0,3,Andy,Carroll,25/08/2018,9,West Ham
55,0,4,Andy,Carroll,01/09/2018,9,West Ham
55,0,5,Andy,Carroll,16/09/2018,9,West Ham
54,0,6,Andy,Carroll,23/09/2018,9,West Ham
54,0,7,Andy,Carroll,29/09/2018,9,West Ham
54,0,8,Andy,Carroll,05/10/2018,9,West Ham
54,0,9,Andy,Carroll,20/10/2018,9,West Ham
54,0,10,Andy,Carroll,27/10/2018,9,West Ham
54,0,11,Andy,Carroll,03/11/2018,9,West Ham
54,0,12,Andy,Carroll,10/11/2018,9,West Ham
54,0,13,Andy,Carroll,24/11/2018,9,West Ham
54,0,14,Andy,Carroll,01/12/2018,9,West Ham
54,1,15,Andy,Carroll,04/12/2018,9,West Ham
54,1,16,Andy,Carroll,08/12/2018,9,West Ham
54,1,17,Andy,Carroll,15/12/2018,9,West Ham
54,1,18,Andy,Carroll,22/12/2018,9,West Ham
54,1,19,Andy,Carroll,27/12/2018,9,West Ham
54,0,20,Andy,Carroll,30/12/2018,9,West Ham
54,1,21,Andy,Carroll,02/01/2019,9,West Ham
54,1,22,Andy,Carroll,12/01/2019,9,West Ham
54,1,23,Andy,Carroll,19/01/2019,9,West Ham
54,1,24,Andy,Carroll,29/01/2019,9,West Ham
54,1,25,Andy,Carroll,04/02/2019,9,West Ham
54,0,26,Andy,Carroll,09/02/2019,9,West Ham
54,0,27,Andy,Carroll,22/02/2019,9,West Ham
54,2,28,Andy,Carroll,27/02/2019,9,West Ham
54,0,29,Andy,Carroll,02/03/2019,9,West Ham
54,0,30,Andy,Carroll,09/03/2019,9,West Ham
54,0,31,Andy,Carroll,16/03/2019,9,West Ham
54,0,32,Andy,Carroll,30/03/2019,9,West Ham
54,0,33,Andy,Carroll,08/04/2019,9,West Ham
54,0,34,Andy,Carroll,13/04/2019,9,West Ham
54,0,35,Andy,Carroll,20/04/2019,9,West Ham
54,0,36,Andy,Carroll,27/04/2019,9,West Ham
54,0,37,Andy,Carroll,04/05/2019,9,West Ham
54,0,38,Andy,Carroll,12/05/2019,9,West Ham
45,0,1,Angelo,Ogbonna,12/08/2018,21,West Ham
45,0,2,Angelo,Ogbonna,18/08/2018,21,West Ham
45,0,3,Angelo,Ogbonna,25/08/2018,21,West Ham
44,0,4,Angelo,Ogbonna,01/09/2018,21,West Ham
44,0,5,Angelo,Ogbonna,16/09/2018,21,West Ham
43,0,6,Angelo,Ogbonna,23/09/2018,21,West Ham
43,0,7,Angelo,Ogbonna,29/09/2018,21,West Ham
43,0,8,Angelo,Ogbonna,05/10/2018,21,West Ham
43,0,9,Angelo,Ogbonna,20/10/2018,21,West Ham
42,1,10,Angelo,Ogbonna,27/10/2018,21,West Ham
42,1,11,Angelo,Ogbonna,03/11/2018,21,West Ham
42,0,12,Angelo,Ogbonna,10/11/2018,21,West Ham
42,0,13,Angelo,Ogbonna,24/11/2018,21,West Ham
42,0,14,Angelo,Ogbonna,01/12/2018,21,West Ham
42,2,15,Angelo,Ogbonna,04/12/2018,21,West Ham
