team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,1,0.7855104176269373,2.3103121716990045,0.0665168536650804,2018-08-10,1.0665168536650804,1.1607781037803129
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,2,1.8853983599143147,1.0914481458276786,0.36968437959961,2018-08-18,1.3696843795996099,1.5959321827893278
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,3,1.0715441519704296,1.62483421534384,0.205096154875252,2018-08-25,1.205096154875252,1.3336814531117036
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,4,1.014410211830396,2.2732341116000487,0.0944993393405967,2018-09-01,1.0944993393405966,1.2162285647602442
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,5,1.3497146708711592,1.725268491012931,0.2155158269742912,2018-09-15,1.2155158269742912,1.3774815874788304
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,6,1.7435316877734863,0.9562616386955288,0.3779820115401918,2018-09-22,1.3779820115401917,1.58720581407301
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,7,1.2326087394603853,1.7877003279829775,0.1941541380435869,2018-09-29,1.194154138043587,1.3420671867788332
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,8,1.4579690153211686,1.396773663183664,0.2791595471214564,2018-10-06,1.2791595471214565,1.4541158289599967
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,9,1.06928284937829,2.342924184465062,0.0884689650872725,2018-10-22,1.0884689650872725,1.2167829070126672
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,10,1.69124621604971,1.268189080510022,0.3223964076825899,2018-10-27,1.3223964076825898,1.5253459536085552
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,11,1.5183367506002512,1.3810482770212482,0.287503406066409,2018-11-03,1.287503406066409,1.469703816138439
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,12,1.6018809311211424,1.3445773129721186,0.301435017611975,2018-11-10,1.301435017611975,1.493660729346512
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,13,1.4490560784805924,1.4723296185829065,0.2660555728137982,2018-11-24,1.2660555728137983,1.4399423022314692
